,Gender,EthnicGroup_0,EthnicGroup_1,EthnicGroup_2,ParentEduc_0,ParentEduc_1,ParentEduc_2,LunchType,TestPrep,ParentMaritalStatus_0,ParentMaritalStatus_1,ParentMaritalStatus_2,PracticeSport_0,PracticeSport_1,PracticeSport_2,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours_0,WklyStudyHours_1,MathScore,ReadingScore,WritingScore
0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1.3862943611198906,1,0,1,4.276666119016055,4.276666119016055,4.31748811353631
1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0.0,1,1,0,4.248495242049359,4.51085950651685,4.48863636973214
2,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1.6094379124341005,1,0,1,4.477336814478207,4.543294782270004,4.5217885770490405
3,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0.6931471805599453,1,1,0,3.828641396489095,4.04305126783455,3.7612001156935615
4,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0.0,1,1,0,4.343805421853684,4.3694478524670215,4.330733340286331
5,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0.6931471805599453,1,1,0,4.30406509320417,4.442651256490317,4.382026634673881
6,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0.6931471805599453,0,1,0,4.454347296253507,4.543294782270004,4.499809670330265
7,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0.6931471805599453,0,1,1,3.737669618283368,3.784189633918261,3.688879454113936
8,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1.3862943611198906,0,1,1,4.189654742026425,4.174387269895637,4.23410650459726
9,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0.6931471805599453,0,1,0,4.07753744390572,4.007333185232471,3.970291913552122
10,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0.6931471805599453,1,1,0,3.713572066704308,3.970291913552122,3.784189633918261
11,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0.6931471805599453,0,1,0,4.204692619390966,4.418840607796598,4.31748811353631
12,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0.6931471805599453,0,1,1,4.394449154672439,4.30406509320417,4.276666119016055
